Class,Species,Stage,Abundance,Size min (um),Size max(um),Size_min_mm,Size_max_mm,bodymass min(ugC.ind-1),bodymass max(ugC.ind-1),REF,Biomass min(ugC),Biomass max (ugC),Somme biomass per species(ugC),,Group,Respiration per stage (pgC.d-1),,Res_spe_max (pgC.d-1),Res_spe_min (pgC.d-1),,,,Res_group(pgC.m-2.d-1),,Res_group(gC.m-2.m-1),,,,14W-0.25*e0.0693*(T-20)*biomass,,,"Meloney and Field, 1989  table4"
LW,Triconia borealis,F,2662.88,400.00,450.00,0.40,0.45,3.95E-01,5.10E-01,"Sabatini & Kiorbe, 1994",1.05E+03,1.36E+03,,,Omnivorous,1.75E+08,1.27E+08,,,,,,,,,,,,,,,
LW,Triconia borealis,M,70.75,292.00,315.00,,,2.00E-01,2.36E-01,,1.42E+01,1.67E+01,,,Omnivorous,2.55E+06,2.07E+06,,,,,,,,,,,,,,,
LW,Triconia borealis,Total,2733.63,,,,,,,,,,1.07E+03,1.37E+03,,#DIV/0!,#DIV/0!,1.77E+08,1.29E+08,,,,,,,,,,,,,
UP,Aglantha digitale,NA,457.20,10.00,22.00,10.00,22.00,3.70E+02,4.10E+03,"Hopcroft et al., 2005",1.69E+05,1.87E+06,1.69E+05,1.87E+06,Carnivorous,4.36E+10,2.16E+09,4.36E+10,2.16E+09,,,,,,,,,,,,,
UP,Boroecia maxima,NA,1096.11,3.00,3.50,3.00,3.50,1.37E+02,1.97E+02,"Mumm, 1991",1.50E+05,2.16E+05,1.50E+05,2.16E+05,Omnivorous,6.45E+09,4.09E+09,6.45E+09,4.09E+09,,,,,,,,,,,,,
UP,Calanus finmarchicus,Ci,20.51,560.00,850.00,0.56,0.85,6.06E-01,2.69E+00,"Madsen et al., 2001",1.24E+01,5.51E+01,,,Calanus,6.38E+06,9.91E+05,,,,,,,,,,,,,,,
UP,Calanus finmarchicus,Cii,57.85,730.00,1200.00,0.73,1.20,1.56E+00,9.20E+00,,9.03E+01,5.32E+02,,,Calanus,4.86E+07,5.29E+06,,,,,,,,,,,,,,,
UP,Calanus finmarchicus,CiV,63.59,1300.00,1500.00,1.30,1.50,1.22E+01,2.04E+01,,7.78E+02,1.30E+03,,,Calanus,7.08E+07,3.74E+07,,,,,,,,,,,,,,,
UP,Calanus finmarchicus,CV,729.55,2000.00,3000.00,2.00,3.00,5.70E+01,2.42E+02,,4.16E+04,1.77E+05,,,Calanus,6.56E+09,1.08E+09,,,,,,,,,,,,,,,
UP,Calanus finmarchicus,F,634.86,1860.00,3200.00,1.86,3.20,4.40E+01,3.05E+02,,2.79E+04,1.93E+05,,,Calanus,7.67E+09,6.82E+08,,,,,,,,,,,,,,,
UP,Calanus finmarchicus,M,3.28,1950.00,2800.00,1.95,2.80,5.20E+01,1.89E+02,,1.71E+02,6.21E+02,,,Calanus,2.36E+07,4.70E+06,,,,,,,,,,,,,,,
UP,Calanus finmarchicus,Total,1509.63,,,,,,,,,,7.05E+04,3.73E+05,,#DIV/0!,#DIV/0!,1.44E+10,1.81E+09,,,,,,,,,,,,,
UP,Calanus glacialis,Ci,481.78,600.00,1000.00,0.60,1.00,8.13E-01,4.74E+00,"Forest et al., 2011",3.92E+02,2.28E+03,,,Calanus,2.46E+08,2.71E+07,,,,,,,,,,,,,,,
